3,1,conv2,[ 1  0 18],-5.0,123.0,86.46,3.0400000000000063
7,2,fc2,[ 2 28],-17.0,111.0,72.0,14.459999999999994
7,3,fc2,[ 2 11],-14.0,114.0,48.9,23.1
3,4,conv2,[ 1  0 14],-13.0,115.0,41.78,7.119999999999997
3,5,conv2,[ 1  0 10],-28.0,100.0,32.78,9.0
3,6,conv2,[1 0 9],-19.0,109.0,29.42,3.3599999999999994
7,7,fc2,[2 4],-8.0,120.0,28.22,1.2000000000000028
3,8,conv2,[1 0 8],-24.0,104.0,27.64,0.5799999999999983
3,9,conv2,[1 0 7],-16.0,112.0,27.5,0.14000000000000057
3,10,conv2,[1 0 6],-4.0,124.0,27.44,0.05999999999999872
7,11,fc2,[ 3 28],63.0,-65.0,27.44,0.0
3,12,conv2,[1 0 5],-13.0,115.0,27.36,0.08000000000000185
7,13,fc2,[3 4],28.0,-100.0,27.36,0.0
6,14,fc1,[ 4 14],-29.0,99.0,25.0,2.3599999999999994
3,15,conv2,[1 0 4],-23.0,105.0,24.98,0.019999999999999574
6,16,fc1,[ 4 15],-5.0,123.0,23.58,1.4000000000000021
3,17,conv2,[1 0 3],-2.0,126.0,23.56,0.019999999999999574
6,18,fc1,[28 13],-19.0,109.0,23.02,0.5399999999999991
7,19,fc2,[ 3 11],52.0,-76.0,23.02,0.0
6,20,fc1,[11 11],-19.0,109.0,22.64,0.379999999999999
6,21,fc1,[11 12],-28.0,100.0,22.34,0.3000000000000007
7,22,fc2,[ 3 21],37.0,-91.0,22.34,0.0
1,23,conv1,[ 0  0 11],-18.0,-82.0,22.2,0.14000000000000057
7,24,fc2,[ 3 30],32.0,-96.0,22.2,0.0
1,25,conv1,[0 0 9],-39.0,-103.0,22.06,0.14000000000000057
1,26,conv1,[0 0 8],-3.0,-67.0,21.96,0.09999999999999787
3,27,conv2,[ 1  0 11],16.0,80.0,21.84,0.120000000000001
7,28,fc2,[ 2 21],43.0,107.0,21.64,0.1999999999999993
6,29,fc1,[21 12],-24.0,104.0,21.38,0.26000000000000156
3,30,conv2,[ 1  0 12],5.0,69.0,21.28,0.09999999999999787
